NAME,ADDR,LBRRY_LA,LBRRY_LO,TEL
면암중앙도서관,경기도 포천시 신북면 중앙로207번길 26,37.9053026,127.206376,031-538-3911
소흘도서관,경기도 포천시 소흘읍 송우로 101-29,37.8296046,127.1375338,031-538-3951
일동도서관,경기도 포천시 일동면 화동로 1021,37.9549363,127.3154556,031-538-3932
영중꿈나무도서관,경기도 포천시 영중면 양문로 151,38.0056285,127.2453024,031-538-3945
영북도서관,경기도 포천시 영북면 운천안길 3,38.0876825,127.2741705,031-538-3972
가산도서관,경기도 포천시 가산면 선마로 223,37.8484029,127.186356,031-538-3987
통영시립도서관,경상남도 통영시 무전3길 29,34.8618204,128.424713,055-650-2630
꿈이랑도서관,경상남도 통영시 산양읍 둔전길 155,34.8028677,128.393474,055-650-2500
통영시립욕지도서관,경상남도 통영시 욕지면 중촌길 203,34.6367834,128.263369,055-650-4580
통영시립충무도서관,경상남도 통영시 용남면 기호바깥길 7-87,34.8732994,128.420478,055-650-2640
원주시립중앙도서관,강원특별자치도 원주시 서원대로 472-12,37.3263503,127.9533323,033-737-4360
원주시립미리내도서관,강원특별자치도 원주시 양지로 46,37.3536617,127.9431874,033-737-2828
포항시립대잠도서관,경상북도 포항시 남구 시청로 1,36.0191816,129.3432983,"054-270-5680(종합자료실), 054-270-5670(어린이자료실)"
포항시립영암도서관,경상북도 포항시 남구 상공로 46번길 11,36.0127761,129.357763,054-270-5685
포항시립포은중앙도서관,경상북도 포항시 북구 삼호로 31,36.0437354,129.3673931,054-270-4600
포항시립포은오천도서관,경상북도 포항시 남구 오천읍 정몽주로 566,35.9686415,129.416446,054-270-5692
포항시립동해석곡도서관,경상북도 포항시 남구 동해면 일월로41번길 19,35.9908951,129.437424,054-270-4625
해도동 바다섬작은도서관,경상북도 포항시 남구 중앙로68번길 7,36.0194979,129.370468,054-282-9896
양학동 부학작은도서관,"경상북도 포항시 북구 양학로 22, 2층",36.02547,129.35056,054-614-7001
신광면 비학산작은도서관,경상북도 포항시 북구 신광면 토성길25번길 10-5,36.1298718,129.261625,054-241-0302
두호동 두무치작은도서관,경상북도  포항시 북구 삼호로203번길 22,36.0574535,129.374743,054-246-0300
청림동 푸른숲작은도서관,"경상북도 포항시 남구 동해안로 6001, 청림마을 독서실 2층",35.9926071,129.410481,054-292-0129
효곡동 행복작은도서관,경상북도 포항시 남구 새천년대로 306,36.0061655,129.332913,054-282-1842
오천읍 해와달작은도서관,"경상북도 포항시 남구 오천읍 철강로 685, 준양참마을 관리실 2층",35.96402,129.4016,054-291-0700
장량동 참사랑작은도서관,경상북도 포항시 북구 침촌로 20,36.0825892,129.3775857,054-255-0022
상대동 큰섬마을작은도서관,경상북도 포항시 남구 대해로91번길 22,36.0233368,129.364019,054-283-0030
연일읍 미르작은도서관,"경상북도 포항시 남구 연일읍 유강길10번길 49, 코아루1단지아파트",36.00766,129.32019,054-281-2267
대송면 큰솔작은도서관,경상북도 포항시 남구 대송면 운제로 111,35.97817,129.36225,054-286-7474
죽도동 청암작은도서관,경상북도 포항시 북구 죽도로 82-2,36.03312,129.36951,070-4125-3081
효곡동 그린숲작은도서관,경상북도 포항시 남구 지곡로278번길 2,36.0297139,129.32309,054-221-4924
송도동 솔향작은도서관,"경상북도 포항시 남구 서동로 162, 태왕아너스 관리소 2층",36.0389457,129.376003,054-246-6688
오천읍 그루터기작은도서관,경상북도 포항시 남구 오천읍 정몽주로 481,35.96289,129.4115,054-292-4488
환여동 해맞이꿈터작은도서관,경상북도 포항시 북구 삼호로 391,36.0699147,129.39142,054-251-5577
기계면 버드내작은도서관,경상북도 포항시 북구 기계면 기계로 94,36.0704002,129.20648,054-243-6565
환여동 환호어린이작은도서관,경상북도 포항시 북구 환호공원길 30,36.0677253,129.393047,054-251-5578
청림동 찬내작은도서관,경상북도 포항시 남구 정몽주로879번길 9-1,35.99286,129.40438,054-291-6454
죽도동 맑은물작은도서관,"경상북도 포항시 북구 죽도로 30, 빗물펌프장 1층",36.03302,129.36473,054-278-3081
구룡포 미르아라작은도서관,경상북도 포항시 남구 구룡포읍 구룡포길65번길 7,35.9911577,129.552533,054-276-4122
근로종합복지회관작은도서관,경상북도 포항시 남구 철강로 388,35.9772867,129.379979,054-270-4771
청하면 해아작은도서관,경상북도 포항시 북구 청하면 청하로 247,36.2014522,129.340444,054-231-6799
장량동 다솜작은도서관,경상북도 포항시 북구 장량중앙로 17,36.092047,129.382772,054-252-0016
장량동 햇살작은도서관,경상북도 포항시 북구 양덕로50번길 33,36.08476,129.40569,054-256-0016
효곡동 열린작은도서관,경상북도 포항시 남구 효성로 88,36.00493,129.34348,054-272-4434
두호동 책이랑바다랑작은도서관,경상북도 포항시 북구 삼호로 260,36.06095,129.38005,070-7730-5119
흥해읍 내맏이작은도서관,경상북도 포항시 북구 흥해읍 도음로877번길 9,36.08053,129.32993,054-262-3997
흥해읍 어리골작은도서관,경상북도 포항시 북구 흥해읍 달전로 291,36.07046,129.33377,054-262-3996
용흥동 솔개재작은도서관,"경상북도 포항시 북구 대안길 56, 1층(122동 뒷편 우방독서실 내)",36.0431083,129.352425,054-610-1120
죽장면 참느리작은도서관,경상북도 포항시 북구 죽장면 죽장로 1759,36.241684,129.215431,054-261-0330
장량동 해뜰참작은도서관,경상북도 포항시 북구 새천년대로 1235,36.0749668,129.381851,054-246-0016
포항시립어린이영어도서관,경상북도 포항시 남구 뱃머리길 39,36.006965,129.35568,054-270-4386
장량동 꿈마루작은도서관,경상북도 포항시 북구 장량중앙로 117,36.0894166,129.395131,054-252-1622
흥해읍 참새미작은도서관,경상북도 포항시 북구 흥해읍 달전로 365,36.0761422,129.339163,054-262-3002
장량동 바람숲작은도서관,경상북도 포항시 북구 양덕로 60,36.0847418,129.403442,054-251-2531
부평구립청천도서관,인천광역시 부평구 원길로 23,37.5059306,126.714393,032-330-9171
부평구립갈산도서관,인천광역시 부평구 주부토로 254,37.517625,126.727425,032-362-0261
부평구립삼산도서관,인천광역시 부평구 부평북로 445,37.5222385,126.743041,032-330-7012
부평구립부개어린이도서관,인천광역시 부평구 동수로 166,37.4855358,126.737013,032-505-1131
부평기적의도서관,인천광역시 부평구 길주남로 166,37.503443,126.740173,032-505-0612
부평구립부개도서관,인천광역시 부평구 부일로83번길 46,37.4910257,126.7394883,032-505-0062
인천 서구 석남도서관,인천광역시 서구 서달로137번길 6-12,37.5117615,126.6782612,032-575-2600
인천 서구 검단도서관,인천광역시 서구 완정로92번길 18,37.6004027,126.666328,032-561-4117
인천 서구 심곡도서관,인천광역시 서구 심곡로 31,37.5424302,126.6731937,032-568-0133
인천 서구 신석도서관,인천광역시 서구 염곡로 299,37.5116268,126.6682828,032-571-9457
성북정보도서관,서울특별시 성북구 화랑로18자길 13,37.6048486,127.050425,02-962-1081
해오름도서관,"서울특별시 성북구 성북로4길 52, 주차장 위 지상 2층",37.5941774,127.010608,02-6925-7002
아리랑도서관,서울특별시 성북구 아리랑로 82,37.5998987,127.013975,02-3291-4990
서경로꿈마루도서관,서울특별시 성북구 서경로 94-1,37.6114625,127.013862,02-6925-0300
석관동미리내도서관,서울특별시 성북구 한천로66길 203,37.613522,127.06546,02-960-5067
정릉도서관,서울특별시 성북구 정릉로 242,37.6047207,127.010585,02-2038-9928
달빛마루도서관,서울특별시 성북구 종암로 167,37.604481,127.031316,02-911-0993
청수도서관,서울특별시 성북구 보국문로16가길 20,37.6117293,127.010749,02-2038-4423
종암동새날도서관,서울특별시 성북구 종암로 98-8,37.5990302,127.035098,02-6925-6920
의왕시중앙도서관,경기도 의왕시 골우물길 49,37.3422301,126.969448,031-345-3656
의왕시내손도서관,경기도 의왕시 복지로 109,37.387659,126.982053,031-345-2654
의왕시글로벌도서관,경기도 의왕시 보식골로 30-10,37.3576815,126.970498,031-345-3681
오전빛고운도서관,경기도 의왕시 찬우물길 11,37.3535029,126.971653,031-345-3195
부곡글고운도서관,경기도 의왕시 부곡시장길 75,37.3184983,126.956818,031-345-3155
내손책고운도서관,경기도 의왕시 갈미2로 4,37.37826,126.97563,031-345-3225
청계참고운도서관,경기도 의왕시 안양판교로 232,37.3885035,126.995965,031-345-3285
오산시 중앙도서관,경기도 오산시 운암로 85,37.15388,127.076939,031-8036-6140
오산시 청학도서관,경기도 오산시 청학로 65,37.1550825,127.063967,031-8036-6490
오산시 햇살마루도서관,경기도 오산시 오산로132번길 28-6,37.1384499,127.071734,031-8036-6500
오산시 양산도서관,경기도 오산시 양산로 410번길 34,37.1943263,127.032212,031-8036-6143
오산시 초평도서관,경기도 오산시 발안로 1353-11,37.1427084,127.046599,031-8036-6142
오산시 꿈두레도서관,경기도 오산시 세마역로 20,37.1817029,127.045268,031-8036-6520
전라남도립도서관,전라남도 무안군 삼향읍 남악로 210,34.8049913,126.461486,061-288-5200
광주광역시립사직도서관,광주광역시 남구 제중로 56,35.1395202,126.9139332,062-613-7783
광주광역시립무등도서관,광주광역시 북구 면앙로 130,35.1765283,126.9253482,062-613-7753
광주광역시립산수도서관,광주광역시 동구 경양로 355,35.1543981,126.9284698,062-613-7831
동대문구정보화도서관,서울특별시 동대문구 회기로10길 60,37.5900642,127.047331,02-960-1959
장안어린이도서관,서울특별시 동대문구 장한로26다길 10,37.571256,127.073198,02-2249-1959
용두어린이영어도서관,서울특별시 동대문구 무학로 133,37.5761063,127.030293,02-921-1959
이문체육문화센터 어린이도서관,서울특별시 동대문구 한천로58길 81-49,37.6022638,127.068711,02-963-0534
이문어린이도서관,서울특별시 동대문구 천장산로9길 68,37.5988988,127.053846,02-968-7530
동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,37.573203,127.050405,02-982-1959
전곡마을 작은도서관,서울특별시 동대문구 전농1동 199-56,37.5792838,127.063177,070-8610-0300
장안 가온누리 작은도서관,"서울특별시 동대문구 천호대로 87길 43, 미나리어린이공원 내",37.5810232,127.046915,070-8610-0302
동대문구 장안 벚꽃길 작은도서관,서울특별시 동대문구 장안동 481-2,37.576349,127.076761,070-8610-0301
휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,37.5886815,127.060597,02-2248-1959
양산시립 중앙도서관,경상남도 양산시 물금읍 청룡로 11,35.3252568,128.996509,055-392-5900
양산시립 윤현진도서관,경상남도 양산시 희망1길 25,35.3477893,129.0439266,055-392-5870
양산시립 웅상도서관,경상남도 양산시 웅상대로 1009-2,35.3894429,129.15527,055-392-5950
양산시립 영어도서관,경상남도 양산시 대평들1길 9-10,35.4144861,129.164018,055-392-5940
파주시립중앙도서관,경기도 파주시 쇠재로 33,37.7499775,126.7706867,031-940-5661
파주시립금촌도서관,경기도 파주시 시민회관길 40,37.7585597,126.780114,031-940-4381
파주시립문산도서관,경기도 파주시 문산읍 개포래로 42,37.8532474,126.783437,031-940-8433
파주시립법원도서관,경기도 파주시 법원읍 사임당로 947,37.8474969,126.886213,031-940-4193
파주시립적성도서관,"경기도 파주시 적성면 청송로 1013, 적성면 행정복지센터",37.9541763,126.917375,031-940-8552
파주시립조리도서관,경기도 파주시 조리읍 내산길 29,37.747529,126.806657,031-944-2945
파주시립행복어린이도서관,"경기도 파주시 문산읍 통일로 1680, 문산읍 행정복지센터 3층",37.8567287,126.79098,031-940-8571
파주시립해솔도서관,경기도 파주시 해솔로 34,37.7266026,126.748162,031-940-5140
파주시립한빛도서관,경기도 파주시 와석순환로 94,37.7119174,126.749405,031-940-5777
파주시립금촌3동솔빛도서관,"경기도 파주시 시청로 194, 금촌3동 행정복지센터",37.7714418,126.778564,031-944-8211
파주시립물푸레도서관,경기도 파주시 청석로 360,37.7340185,126.720118,031-944-5951
파주시립가람도서관,경기도 파주시 가람로116번길 170,37.7305536,126.763913,031-949-2552
파주시립교하도서관,경기도 파주시 숲속노을로 256,37.7234851,126.712431,031-940-5153
파주시립술이홀도서관,경기도 파주시 파주읍 술이홀로 295,37.8305402,126.8198325,031-940-5082
전주시립완산도서관,전북특별자치도 전주시 완산구 곤지산4길 12,35.8094167,127.147738,063-230-1817
전주시립아중도서관,전북특별자치도 전주시 덕진구 무삼지2길 7,35.8262181,127.162659,063-281-6475
전주시립건지도서관,전북특별자치도 전주시 덕진구 호성로 25,35.8541298,127.151551,"063-281-6607,6608"
전주시립평화도서관,전북특별자치도 전주시 완산구 평화14길 27-51,35.7914868,127.134854,063-281-6420
전주시립삼천도서관,전북특별자치도 전주시 완산구 용리로 107,35.7989436,127.121693,063-281-6464
전주시립서신도서관,전북특별자치도 전주시 완산구 서신천변14길 10,35.8310167,127.11525,063-281-6550
전주시립송천도서관,전북특별자치도 전주시 덕진구 솔내로 212,35.8693071,127.128237,063-281-2798
전주시립금암도서관,전북특별자치도 전주시 덕진구 거북바우로 13,35.8364087,127.139964,063-281-6440
전주시립인후도서관,전북특별자치도 전주시 덕진구 안덕원로 349,35.8395057,127.1634,"063-281-6408, 6409"
대림도서관,서울특별시 영등포구 도신로 27,37.5082195,126.9040594,02-828-3700
전주시립쪽구름도서관,전북특별자치도 전주시 덕진구 여암2길 9,35.8715131,127.07571,063-281-6530
완주군립중앙도서관,전북특별자치도 완주군 용진읍 지암로 61,35.9048726,127.160787,063-290-2652 / 어린이자료실 063-290-2656 / 종합자료실 063-290-2657
완주군립삼례도서관,전북특별자치도 완주군 삼례읍 삼봉로 215-12,35.9204022,127.093254,063-290-2642
완주군립고산도서관,전북특별자치도 완주군 고산면 고산로 69-13,35.9764763,127.20535,063-290-2647
완주군립둔산영어도서관,"전북특별자치도 완주군 봉동읍 원둔산2길 16, 전주첨단코아루아파트",35.9609204,127.125344,063-290-2242
서울도서관,서울특별시 중구 세종대로 110,37.5663245,126.977752,02-2133-0300
서초구립반포도서관,서울특별시 서초구 고무래로 34,37.502493,127.012451,02-520-8700
서초1동 작은도서관,서울특별시 서초구 사임당로 89,37.4901402,127.019511,02-2155-7418
서이도서관,서울특별시 서초구 서초대로70길 51,37.4920737,127.024938,02-3471-1337
서초3동 작은도서관,서울특별시 서초구 반포대로 58,37.4856424,127.011525,02-3472-7462
서초4동 작은도서관,서울특별시 서초구 서운로26길 3,37.502619,127.02221,02-2155-7512
잠원도서관,서울특별시 서초구 나루터로 38,37.5149648,127.013968,02-3477-8655
반포본동 작은도서관,서울특별시 서초구 신반포로 10,37.5004844,126.986094,02-2155-7577
반포1동 작은도서관,서울특별시 서초구 사평대로 273,37.505094,127.013378,02-2155-7615
반포2동 작은도서관,서울특별시 서초구 신반포로15길 16,37.5045966,126.994483,02-2155-7635
반포3동 작은도서관,서울특별시 서초구 신반포로23길 78,37.5119319,127.005989,02-2155-7670
반포4동 작은도서관,서울특별시 서초구 사평대로28길 70,37.4974793,127.000311,02-2155-7703
방배본동 작은도서관,서울특별시 서초구 동광로19길 38,37.4941548,126.988822,02-2155-7734
방배1동 작은도서관,서울특별시 서초구 효령로29길 43,37.4834079,126.994533,02-2155-7765
방배2동 책사랑방,서울특별시 서초구 청두곶길 36,37.4797439,126.98551,02-2155-7794
방배도서관,"서울특별시 서초구 방배로 40, 4층",37.4803209,126.999037,02-3471-3993
방배4동 작은도서관,서울특별시 서초구 방배로 173,37.4889423,126.992251,02-2155-7851
양재1동 작은도서관,서울특별시 서초구 바우뫼로 41,37.4716481,127.026721,02-2155-7895
양재2동 작은도서관,서울특별시 서초구 강남대로12길 44,37.4762901,127.043128,02-2155-7906
서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57,37.5385252,127.143756,02-2225-9800
서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,37.5478818,126.859926,02-3219-7000
서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30,37.4829604,127.063769,02-3460-8200
서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로 295,37.5561464,127.157984,02-6902-2600
서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31,37.5053516,126.853254,02-2615-0524
서울특별시교육청구로도서관,서울특별시 구로구 공원로 15,37.4985419,126.891674,02-6958-2800
서울특별시교육청남산도서관,서울특별시 용산구 소월로 109,37.5530786,126.981334,02-754-7338
서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556,37.652815,127.012963,02-6714-7400
서울특별시교육청동대문도서관,서울특별시 동대문구 천호대로4길 22,37.5735535,127.024779,02-2170-1000
서울특별시교육청동작도서관,서울특별시 동작구 장승배기로 94,37.5059908,126.940166,02-823-6419
서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16,37.5543324,126.924196,02-2137-0000
서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113,37.5336544,126.875957,02-2062-3900
서울특별시교육청서대문도서관,서울특별시 서대문구 모래내로 412,37.5834154,126.940849,1833-6948
서울특별시교육청서울시립어린이도서관,서울특별시 종로구 사직로 9길 7,37.5763001,126.968237,02-731-2300
서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10,37.526074,126.907352,02-6712-7500
서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160,37.5519877,126.980123,02-6902-7777
서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48,37.5810398,126.982952,02-2011-5799
서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14,37.5764744,126.966457,02-721-0707
서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13,37.6393958,127.067748,02-979-1741
서울특별시교육청송파도서관,서울특별시 송파구 동남로 263,37.4999933,127.134839,02-3434-3333
서울특별시교육청마포평생학습관아현분관,서울특별시 마포구 마포대로 224,37.5538448,126.957198,02-362-8785
